Riqueza,Viento,Cielo,Rio,Hora,Mes,VERCHR,VERCYA,HYLMUS,VIRSOL,CARPUS,SETCIT,SETVIR,DUMCAR,SETMAG,SETPEN,OREPER
10,2,2,3,1115,1,2,1,0,0,1,0,3,0,2,2,0
7,1,0,2,731,2,0,0,0,0,0,0,1,0,1,1,0
7,1,0,1,1314,4,0,0,0,0,1,0,1,0,2,1,0
0,1,3,1,607,12,0,0,0,0,0,0,0,0,0,0,0
10,1,2,5,837,1,0,0,0,0,1,1,0,1,1,0,0
1,2,2,0,754,2,0,0,0,0,1,0,0,0,0,0,0
10,1,2,2,843,3,0,0,0,0,0,0,3,0,1,1,0
4,1,2,0,804,12,0,0,0,0,0,0,0,0,0,0,0
8,2,1,0,1005,2,0,0,1,0,0,1,0,0,2,0,0
2,2,0,0,1421,4,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,1141,12,0,0,0,0,0,0,0,0,1,1,0
10,1,3,1,946,2,0,0,0,0,0,1,0,0,1,1,0
0,1,0,0,1342,4,0,0,0,0,0,0,0,0,0,0,0
4,1,2,0,1008,1,0,0,0,0,0,0,0,0,0,1,0
4,3,1,0,923,2,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,743,4,0,0,0,0,0,0,0,0,0,0,0
9,1,2,2,1123,1,0,1,0,0,0,1,1,0,2,0,0
11,3,2,2,1028,2,0,0,0,0,0,0,2,0,0,0,0
11,1,2,3,1022,4,0,0,0,0,0,0,1,0,0,1,0
6,1,2,0,1411,1,0,0,1,0,0,0,0,0,0,0,0
5,1,0,0,636,2,0,0,0,0,0,0,0,0,0,0,0
6,2,2,0,934,3,0,0,0,0,0,0,0,0,0,0,0
